Unnamed: 0,UTC,Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],PM1.0,PM2.5,NC0.5,NC1.0,NC2.5,CNT,Fire Alarm
130,1654733461,21.772,50.78,10,417,12565,19664,939.788,0.0,0.01,0.01,0.01,0.006,130,0
131,1654733462,21.785,50.64,2,401,12564,19650,939.784,0.0,0.01,0.0,0.009,0.005,131,0
132,1654733463,21.797,50.46,1,407,12563,19659,939.782,0.0,0.01,0.0,0.008,0.005,132,0
133,1654733464,21.81,50.3,0,400,12565,19658,939.773,0.0,0.01,0.0,0.007,0.004,133,0
134,1654733465,21.822,50.16,21,425,12561,19649,939.782,0.0,0.01,0.0,0.006,0.003,134,0
135,1654733466,21.835,50.04,10,426,12559,19649,939.796,0.0,0.0,0.0,0.005,0.003,135,0
136,1654733467,21.847,49.93,6,420,12566,19662,939.791,0.0,0.0,0.0,0.005,0.003,136,0
137,1654733468,21.86,49.85,6,417,12562,19653,939.792,0.0,0.0,0.0,0.004,0.002,137,0
138,1654733469,21.872,49.76,8,420,12565,19660,939.806,0.0,0.0,0.0,0.003,0.002,138,0
139,1654733470,21.885,49.64,5,417,12564,19655,939.821,0.0,0.0,0.0,0.003,0.002,139,0
140,1654733471,21.897,49.58,11,411,12563,19651,939.815,0.0,0.0,0.0,0.003,0.001,140,0
141,1654733472,21.909,49.5,11,421,12563,19647,939.805,0.0,0.0,0.0,0.002,0.001,141,0
142,1654733473,21.922,49.42,0,414,12571,19657,939.805,0.0,0.0,0.0,0.002,0.001,142,0
143,1654733474,21.934,49.38,7,418,12565,19653,939.803,0.0,0.0,0.0,0.002,0.001,143,0
144,1654733475,21.946,49.33,4,406,12565,19659,939.819,0.0,0.0,0.0,0.001,0.001,144,0
145,1654733476,21.959,49.16,28,442,12547,19629,939.812,0.0,0.0,0.0,0.001,0.001,145,0
146,1654733477,21.971,49.32,39,455,12541,19629,939.817,0.0,0.0,0.0,0.001,0.001,146,0
147,1654733478,21.983,49.87,29,440,12544,19631,939.813,0.0,0.0,0.0,0.001,0.001,147,0
148,1654733479,21.996,50.49,31,445,12545,19632,939.81,0.0,0.0,0.0,0.001,0.0,148,0
149,1654733480,22.008,51.08,28,453,12548,19631,939.818,0.0,0.0,0.0,0.001,0.0,149,0
150,1654733481,22.02,51.65,26,440,12549,19633,939.832,0.0,0.0,0.0,0.001,0.0,150,0
154,1654733485,22.069,53.45,21,438,12550,19642,939.817,0.04,0.1,0.11,0.115,0.061,154,0
155,1654733486,22.081,53.75,16,426,12554,19644,939.817,0.02,0.06,0.06,0.067,0.035,155,0
156,1654733487,22.093,54.05,26,431,12556,19638,939.811,0.01,0.02,0.02,0.022,0.011,156,0
157,1654733488,22.105,54.36,32,437,12552,19637,939.809,0.0,0.01,0.01,0.012,0.006,157,0
158,1654733489,22.117,54.59,29,417,12559,19641,939.813,0.0,0.0,0.0,0.004,0.002,158,0
159,1654733490,22.13,54.83,21,420,12567,19645,939.81,0.0,0.0,0.0,0.002,0.001,159,0
160,1654733491,22.142,55.03,20,420,12560,19641,939.794,0.0,0.0,0.0,0.001,0.0,160,0
161,1654733492,22.154,55.25,20,421,12567,19654,939.791,0.0,0.0,0.0,0.0,0.0,161,0
162,1654733493,22.166,55.46,12,415,12565,19639,939.791,0.0,0.0,0.0,0.0,0.0,162,0
163,1654733494,22.178,55.61,11,410,12562,19649,939.799,0.0,0.0,0.0,0.0,0.0,163,0
164,1654733495,22.19,55.73,11,400,12568,19652,939.805,0.0,0.0,0.0,0.0,0.0,164,0
165,1654733496,22.202,55.88,18,417,12567,19656,939.812,0.0,0.0,0.0,0.0,0.0,165,0
166,1654733497,22.214,56.02,14,403,12566,19656,939.812,0.0,0.0,0.0,0.0,0.0,166,0
167,1654733498,22.226,56.14,17,405,12571,19659,939.821,0.0,0.0,0.0,0.0,0.0,167,0
168,1654733499,22.238,56.26,11,401,12564,19660,939.823,0.0,0.0,0.0,0.0,0.0,168,0
169,1654733500,22.25,56.32,2,403,12577,19663,939.826,0.0,0.0,0.0,0.0,0.0,169,0
170,1654733501,22.262,56.43,2,400,12568,19662,939.815,0.0,0.0,0.0,0.0,0.0,170,0
171,1654733502,22.273,56.53,5,404,12570,19659,939.808,0.0,0.0,0.0,0.0,0.0,171,0
172,1654733503,22.285,56.63,4,404,12579,19665,939.808,0.0,0.0,0.0,0.0,0.0,172,0
173,1654733504,22.297,56.69,6,403,12571,19661,939.81,0.0,0.0,0.0,0.0,0.0,173,0
174,1654733505,22.309,56.76,2,400,12577,19663,939.82,0.0,0.0,0.0,0.0,0.0,174,0
175,1654733506,22.321,56.99,0,400,12592,19679,939.817,0.0,0.0,0.0,0.0,0.0,175,0
176,1654733507,22.333,56.77,0,400,12597,19694,939.815,0.0,0.0,0.0,0.0,0.0,176,0
177,1654733508,22.344,55.02,0,401,12597,19689,939.817,0.0,0.0,0.0,0.0,0.0,177,0
178,1654733509,22.356,54.41,0,408,12597,19685,939.809,0.0,0.0,0.0,0.0,0.0,178,0
179,1654733510,22.368,53.84,1,410,12587,19681,939.803,0.0,0.0,0.0,0.0,0.0,179,0
180,1654733511,22.38,53.38,0,402,12598,19689,939.81,0.0,0.0,0.0,0.0,0.0,180,0
181,1654733512,22.392,51.95,4,413,12591,19675,939.809,0.0,0.0,0.0,0.0,0.0,181,0
182,1654733513,22.403,51.66,0,400,12594,19682,939.81,0.0,0.0,0.0,0.0,0.0,182,0
183,1654733514,22.415,51.38,2,409,12594,19693,939.814,0.0,0.0,0.0,0.0,0.0,183,0
184,1654733515,22.427,51.19,1,405,12592,19678,939.815,0.0,0.0,0.0,0.0,0.0,184,0
185,1654733516,22.438,50.83,12,400,12596,19688,939.806,0.0,0.0,0.0,0.0,0.0,185,0
186,1654733517,22.45,50.65,1,401,12598,19680,939.798,0.0,0.0,0.0,0.0,0.0,186,0
187,1654733518,22.462,50.49,12,412,12594,19680,939.804,0.0,0.0,0.0,0.0,0.0,187,0
188,1654733519,22.473,50.36,1,407,12592,19674,939.806,0.0,0.0,0.0,0.0,0.0,188,0
189,1654733520,22.485,50.2,13,409,12596,19677,939.801,0.0,0.0,0.0,0.0,0.0,189,0
190,1654733521,22.497,50.09,2,405,12596,19681,939.803,0.0,0.0,0.0,0.0,0.0,190,0
191,1654733522,22.508,49.96,15,403,12593,19681,939.806,0.0,0.0,0.0,0.0,0.0,191,0
220,1654733551,22.837,56.29,4,400,12600,19672,939.795,0.08,0.16,0.33,0.174,0.077,220,0
221,1654733552,22.848,56.39,11,400,12608,19674,939.79,0.07,0.15,0.31,0.163,0.072,221,0
222,1654733553,22.859,56.51,20,400,12608,19669,939.784,0.06,0.13,0.27,0.144,0.063,222,0
223,1654733554,22.87,56.6,7,400,12608,19682,939.778,0.06,0.12,0.26,0.134,0.059,223,0
224,1654733555,22.881,56.71,8,400,12605,19673,939.786,0.05,0.11,0.22,0.117,0.052,224,0
225,1654733556,22.892,56.75,10,400,12610,19673,939.8,0.06,0.1,0.26,0.115,0.047,225,0
226,1654733557,22.904,56.85,10,400,12608,19674,939.79,0.06,0.11,0.28,0.121,0.049,226,0
227,1654733558,22.915,57.07,0,400,12628,19703,939.804,0.06,0.11,0.29,0.127,0.051,227,0
228,1654733559,22.926,56.85,0,400,12631,19709,939.808,0.06,0.11,0.29,0.127,0.051,228,0
229,1654733560,22.937,56.27,0,400,12636,19703,939.811,0.06,0.11,0.28,0.123,0.05,229,0
230,1654733561,22.947,55.58,0,400,12630,19701,939.812,0.06,0.11,0.28,0.121,0.049,230,0
231,1654733562,22.958,54.37,10,400,12629,19698,939.804,0.05,0.1,0.25,0.108,0.044,231,0
232,1654733563,22.969,53.86,10,400,12624,19699,939.807,0.05,0.09,0.23,0.099,0.04,232,0
233,1654733564,22.98,53.35,7,400,12632,19701,939.825,0.05,0.08,0.21,0.094,0.038,233,0
234,1654733565,22.991,52.9,4,400,12629,19697,939.82,0.04,0.08,0.19,0.084,0.034,234,0
235,1654733566,23.002,52.52,4,400,12630,19701,939.815,0.04,0.07,0.18,0.079,0.032,235,0
236,1654733567,23.013,52.15,3,400,12630,19712,939.804,0.05,0.08,0.24,0.092,0.034,236,0
237,1654733568,23.024,51.86,7,400,12628,19698,939.808,0.06,0.1,0.32,0.114,0.041,237,0
238,1654733569,23.035,51.58,2,400,12622,19693,939.807,0.07,0.12,0.36,0.131,0.047,238,0
239,1654733570,23.045,51.37,3,400,12626,19690,939.817,0.08,0.14,0.42,0.151,0.055,239,0
240,1654733571,23.056,51.11,1,400,12626,19698,939.81,0.08,0.14,0.43,0.156,0.056,240,0
241,1654733572,23.067,50.96,2,400,12631,19698,939.802,0.1,0.18,0.48,0.201,0.079,241,0
242,1654733573,23.078,50.77,0,400,12633,19706,939.814,0.1,0.19,0.51,0.209,0.082,242,0
243,1654733574,23.089,50.62,0,400,12630,19711,939.813,0.11,0.2,0.52,0.216,0.085,243,0
244,1654733575,23.099,50.44,0,400,12630,19708,939.807,0.11,0.2,0.52,0.215,0.085,244,0
245,1654733576,23.11,50.31,1,400,12633,19704,939.816,0.1,0.19,0.5,0.208,0.082,245,0
246,1654733577,23.121,50.19,12,400,12629,19689,939.808,0.1,0.18,0.49,0.203,0.08,246,0
247,1654733578,23.131,50.08,5,400,12633,19696,939.813,0.09,0.17,0.46,0.189,0.074,247,0
248,1654733579,23.142,50.0,0,400,12629,19704,939.79,0.1,0.17,0.49,0.189,0.072,248,0
249,1654733580,23.153,49.85,12,400,12630,19698,939.791,0.1,0.18,0.5,0.195,0.074,249,0
250,1654733581,23.163,49.71,11,400,12637,19710,939.812,0.1,0.17,0.49,0.192,0.073,250,0
251,1654733582,23.174,49.66,14,400,12635,19696,939.8,0.09,0.17,0.47,0.183,0.069,251,0
252,1654733583,23.185,49.6,0,400,12641,19707,939.808,0.09,0.16,0.46,0.177,0.067,252,0
253,1654733584,23.195,49.53,14,400,12630,19703,939.801,0.09,0.16,0.46,0.18,0.068,253,0
254,1654733585,23.206,49.45,1,400,12642,19698,939.805,0.09,0.17,0.47,0.185,0.07,254,0
255,1654733586,23.216,49.31,33,400,12616,19686,939.811,0.09,0.17,0.48,0.187,0.071,255,0
256,1654733587,23.227,49.97,37,400,12613,19678,939.817,0.09,0.16,0.45,0.176,0.067,256,0
257,1654733588,23.238,50.61,51,400,12609,19660,939.821,0.09,0.16,0.44,0.171,0.065,257,0
258,1654733589,23.248,51.19,44,400,12615,19674,939.827,0.09,0.16,0.49,0.175,0.062,258,0
259,1654733590,23.259,51.75,37,400,12622,19674,939.821,0.1,0.17,0.55,0.182,0.061,259,0
260,1654733591,23.269,52.63,40,400,12622,19679,939.825,0.11,0.19,0.62,0.204,0.068,260,0
261,1654733592,23.28,53.07,39,400,12624,19676,939.822,0.12,0.19,0.62,0.205,0.069,261,0
262,1654733593,23.29,53.48,34,400,12624,19685,939.816,0.11,0.18,0.61,0.201,0.067,262,0
263,1654733594,23.3,53.84,19,400,12623,19681,939.821,0.11,0.18,0.6,0.196,0.066,263,0
264,1654733595,23.311,54.17,31,400,12627,19676,939.804,0.11,0.19,0.58,0.21,0.076,264,0
265,1654733596,23.321,54.43,31,400,12632,19698,939.798,0.11,0.2,0.59,0.214,0.077,265,0
266,1654733597,23.332,54.71,12,400,12631,19698,939.807,0.11,0.2,0.59,0.214,0.077,266,0
279,1654733610,23.466,56.66,2,400,12645,19709,939.783,0.15,0.24,0.85,0.264,0.085,279,0
280,1654733611,23.476,56.77,13,400,12641,19701,939.784,0.16,0.25,0.9,0.272,0.084,280,0
291,1654733622,23.587,52.56,17,400,12661,19715,939.786,0.17,0.25,0.94,0.272,0.081,291,0
292,1654733623,23.597,52.25,10,400,12657,19717,939.795,0.16,0.24,0.89,0.259,0.077,292,0
293,1654733624,23.607,51.91,10,400,12664,19721,939.795,0.14,0.21,0.8,0.231,0.069,293,0
294,1654733625,23.617,51.63,7,400,12658,19712,939.806,0.13,0.2,0.75,0.218,0.065,294,0
295,1654733626,23.627,51.38,6,400,12666,19729,939.799,0.12,0.18,0.66,0.192,0.057,295,0
296,1654733627,23.637,51.16,13,400,12662,19718,939.785,0.11,0.17,0.62,0.18,0.054,296,0
297,1654733628,23.646,50.96,11,400,12669,19713,939.79,0.1,0.15,0.54,0.158,0.047,297,0
298,1654733629,23.656,50.8,13,400,12661,19714,939.784,0.09,0.14,0.51,0.147,0.044,298,0
299,1654733630,23.666,50.63,1,400,12665,19722,939.787,0.08,0.12,0.44,0.128,0.038,299,0
300,1654733631,23.676,50.51,2,400,12667,19729,939.789,0.07,0.11,0.41,0.119,0.035,300,0
301,1654733632,23.686,50.4,3,400,12668,19726,939.793,0.06,0.09,0.35,0.102,0.03,301,0
302,1654733633,23.696,50.17,10,400,12668,19728,939.788,0.06,0.09,0.35,0.098,0.028,302,0
303,1654733634,23.706,50.08,6,400,12665,19728,939.785,0.06,0.1,0.37,0.103,0.029,303,0
304,1654733635,23.716,49.88,4,400,12670,19728,939.791,0.06,0.09,0.36,0.101,0.029,304,0
305,1654733636,23.725,49.81,4,400,12672,19729,939.802,0.06,0.09,0.35,0.099,0.028,305,0
306,1654733637,23.735,49.74,9,400,12672,19729,939.794,0.06,0.09,0.33,0.093,0.026,306,0
307,1654733638,23.745,49.67,8,400,12670,19718,939.806,0.06,0.08,0.32,0.089,0.025,307,0
308,1654733639,23.755,49.61,7,400,12669,19721,939.798,0.05,0.08,0.31,0.085,0.024,308,0
309,1654733640,23.764,49.54,11,400,12668,19712,939.784,0.06,0.08,0.32,0.088,0.024,309,0
310,1654733641,23.774,49.35,35,400,12653,19696,939.782,0.06,0.09,0.35,0.093,0.026,310,0
311,1654733642,23.784,49.59,32,400,12648,19691,939.784,0.06,0.09,0.37,0.099,0.027,311,0
312,1654733643,23.793,50.13,39,400,12649,19694,939.781,0.06,0.09,0.37,0.099,0.027,312,0
313,1654733644,23.803,50.75,37,400,12647,19691,939.772,0.06,0.09,0.36,0.098,0.027,313,0
314,1654733645,23.813,51.3,33,400,12649,19701,939.786,0.06,0.09,0.35,0.096,0.026,314,0
315,1654733646,23.822,51.89,32,400,12651,19688,939.781,0.06,0.08,0.33,0.09,0.025,315,0
316,1654733647,23.832,52.39,31,400,12661,19703,939.779,0.05,0.08,0.32,0.086,0.024,316,0
317,1654733648,23.842,52.85,27,400,12659,19704,939.787,0.05,0.07,0.29,0.079,0.022,317,0
318,1654733649,23.851,53.25,31,400,12652,19698,939.787,0.06,0.08,0.33,0.085,0.022,318,0
319,1654733650,23.861,53.66,15,400,12664,19713,939.79,0.06,0.09,0.36,0.095,0.025,319,0
320,1654733651,23.87,53.99,12,400,12660,19701,939.781,0.06,0.09,0.37,0.097,0.025,320,0
321,1654733652,23.88,54.3,16,400,12665,19708,939.782,0.06,0.09,0.37,0.097,0.025,321,0
322,1654733653,23.89,54.58,31,400,12661,19706,939.782,0.06,0.09,0.36,0.096,0.025,322,0
323,1654733654,23.899,54.85,29,400,12664,19705,939.795,0.06,0.08,0.35,0.091,0.024,323,0
324,1654733655,23.909,55.04,17,400,12667,19717,939.786,0.06,0.08,0.34,0.088,0.023,324,0
325,1654733656,23.918,55.25,9,400,12671,19715,939.787,0.06,0.09,0.35,0.093,0.025,325,0
326,1654733657,23.928,55.5,21,400,12667,19707,939.784,0.06,0.09,0.37,0.099,0.026,326,0
327,1654733658,23.937,55.71,7,400,12676,19719,939.795,0.08,0.12,0.48,0.124,0.032,327,0
328,1654733659,23.946,55.83,17,400,12671,19709,939.784,0.09,0.12,0.51,0.132,0.034,328,0
329,1654733660,23.956,55.98,10,400,12669,19717,939.794,0.09,0.13,0.53,0.137,0.035,329,0
330,1654733661,23.965,56.13,18,400,12675,19709,939.79,0.09,0.13,0.54,0.14,0.036,330,0
331,1654733662,23.975,56.23,7,400,12674,19714,939.791,0.09,0.13,0.54,0.139,0.036,331,0
332,1654733663,23.984,56.37,7,400,12673,19715,939.791,0.09,0.12,0.52,0.134,0.035,332,0
333,1654733664,23.993,56.47,13,400,12680,19718,939.803,0.09,0.12,0.51,0.131,0.034,333,0
334,1654733665,24.003,56.57,9,400,12676,19719,939.81,0.09,0.13,0.56,0.14,0.035,334,0
335,1654733666,24.012,56.66,9,400,12674,19714,939.809,0.09,0.13,0.56,0.142,0.035,335,0
336,1654733667,24.021,56.76,6,400,12678,19710,939.808,0.09,0.13,0.56,0.141,0.035,336,0
337,1654733668,24.031,56.83,6,400,12681,19720,939.805,0.09,0.13,0.55,0.139,0.034,337,0
338,1654733669,24.04,56.9,15,400,12681,19721,939.805,0.09,0.12,0.52,0.131,0.033,338,0
339,1654733670,24.049,56.96,4,400,12679,19725,939.813,0.08,0.12,0.5,0.127,0.031,339,0
340,1654733671,24.059,57.2,0,400,12691,19740,939.814,0.09,0.12,0.51,0.126,0.03,340,0
341,1654733672,24.068,56.96,0,400,12697,19750,939.808,0.09,0.12,0.53,0.13,0.031,341,0
342,1654733673,24.077,56.37,0,400,12703,19747,939.816,0.09,0.12,0.53,0.131,0.032,342,0
343,1654733674,24.086,55.13,0,400,12698,19745,939.813,0.09,0.12,0.52,0.128,0.031,343,0
344,1654733675,24.095,54.47,5,400,12699,19752,939.812,0.08,0.11,0.49,0.121,0.029,344,0
345,1654733676,24.105,53.94,2,400,12701,19747,939.804,0.08,0.11,0.47,0.116,0.028,345,0
346,1654733677,24.114,53.43,11,400,12698,19738,939.81,0.07,0.1,0.43,0.107,0.026,346,0
347,1654733678,24.123,53.03,0,400,12700,19743,939.82,0.07,0.09,0.41,0.102,0.024,347,0
348,1654733679,24.132,52.6,0,400,12698,19750,939.825,0.07,0.09,0.42,0.101,0.024,348,0
349,1654733680,24.141,52.25,5,400,12698,19738,939.822,0.07,0.1,0.44,0.105,0.024,349,0
350,1654733681,24.15,51.92,0,400,12698,19749,939.825,0.07,0.1,0.45,0.108,0.025,350,0
351,1654733682,24.159,51.65,5,400,12704,19743,939.825,0.07,0.1,0.45,0.107,0.025,351,0
352,1654733683,24.169,51.26,6,400,12697,19746,939.824,0.08,0.1,0.47,0.11,0.025,352,0
353,1654733684,24.178,51.06,7,400,12702,19744,939.821,0.08,0.11,0.49,0.116,0.026,353,0
354,1654733685,24.187,50.88,12,400,12693,19739,939.827,0.08,0.11,0.51,0.12,0.027,354,0
355,1654733686,24.196,50.74,12,400,12700,19741,939.823,0.08,0.11,0.51,0.12,0.027,355,0
356,1654733687,24.205,50.58,12,400,12698,19740,939.818,0.08,0.11,0.49,0.117,0.026,356,0
357,1654733688,24.214,50.41,15,400,12696,19737,939.803,0.08,0.11,0.48,0.114,0.026,357,0
358,1654733689,24.223,50.31,13,400,12695,19745,939.799,0.07,0.1,0.45,0.106,0.024,358,0
359,1654733690,24.232,50.21,8,400,12705,19748,939.795,0.07,0.1,0.43,0.102,0.023,359,0
360,1654733691,24.241,50.08,10,400,12704,19749,939.805,0.06,0.09,0.39,0.093,0.021,360,0
361,1654733692,24.25,50.0,15,400,12696,19733,939.801,0.06,0.08,0.37,0.088,0.02,361,0
362,1654733693,24.259,49.86,19,400,12697,19733,939.805,0.07,0.09,0.42,0.098,0.021,362,0
363,1654733694,24.267,49.84,8,400,12703,19744,939.796,0.07,0.09,0.43,0.1,0.022,363,0
364,1654733695,24.276,49.76,17,400,12696,19736,939.796,0.07,0.09,0.43,0.1,0.022,364,0
365,1654733696,24.285,49.7,17,400,12699,19738,939.794,0.07,0.09,0.43,0.099,0.022,365,0
366,1654733697,24.294,49.62,7,400,12709,19746,939.796,0.07,0.09,0.41,0.095,0.021,366,0
367,1654733698,24.303,49.56,5,400,12703,19744,939.801,0.06,0.09,0.39,0.092,0.02,367,0
368,1654733699,24.312,49.41,35,400,12687,19719,939.801,0.06,0.08,0.36,0.085,0.018,368,0
369,1654733700,24.321,49.61,32,400,12682,19717,939.793,0.06,0.08,0.35,0.081,0.018,369,0
370,1654733701,24.329,50.14,50,400,12678,19702,939.803,0.05,0.07,0.31,0.073,0.016,370,0
371,1654733702,24.338,50.76,41,400,12684,19708,939.807,0.05,0.06,0.3,0.069,0.015,371,0
372,1654733703,24.347,51.4,33,400,12679,19712,939.806,0.04,0.06,0.26,0.062,0.013,372,0
373,1654733704,24.356,52.37,31,400,12687,19718,939.809,0.04,0.05,0.23,0.054,0.012,373,0
374,1654733705,24.365,52.86,36,400,12690,19721,939.809,0.03,0.04,0.2,0.048,0.01,374,0
375,1654733706,24.373,53.27,20,400,12690,19734,939.813,0.03,0.04,0.19,0.044,0.01,375,0
376,1654733707,24.382,53.64,22,400,12694,19728,939.82,0.03,0.04,0.17,0.039,0.008,376,0
377,1654733708,24.391,54.0,22,400,12695,19733,939.815,0.03,0.03,0.15,0.036,0.008,377,0
378,1654733709,24.399,54.34,18,400,12698,19724,939.815,0.02,0.03,0.13,0.031,0.007,378,0
379,1654733710,24.408,54.6,23,400,12695,19725,939.811,0.02,0.03,0.12,0.029,0.006,379,0
380,1654733711,24.417,54.81,30,400,12694,19724,939.82,0.04,0.05,0.25,0.057,0.012,380,0
381,1654733712,24.425,55.06,28,400,12697,19723,939.811,0.05,0.06,0.28,0.064,0.013,381,0
382,1654733713,24.434,55.27,16,400,12705,19735,939.806,0.05,0.07,0.31,0.071,0.015,382,0
383,1654733714,24.443,55.52,6,400,12702,19740,939.822,0.05,0.07,0.32,0.073,0.015,383,0
384,1654733715,24.451,55.67,0,400,12710,19742,939.839,0.05,0.07,0.32,0.074,0.016,384,0
385,1654733716,24.46,55.85,11,400,12703,19733,939.848,0.05,0.07,0.32,0.073,0.015,385,0
386,1654733717,24.468,55.98,23,400,12698,19737,939.843,0.05,0.07,0.31,0.071,0.015,386,0
387,1654733718,24.477,56.15,7,400,12711,19740,939.85,0.06,0.08,0.38,0.086,0.018,387,0
388,1654733719,24.485,56.23,10,400,12702,19733,939.842,0.06,0.08,0.4,0.09,0.018,388,0
389,1654733720,24.494,56.36,6,400,12712,19745,939.848,0.07,0.1,0.46,0.103,0.02,389,0
390,1654733721,24.503,56.46,11,400,12712,19732,939.849,0.08,0.1,0.5,0.111,0.022,390,0
391,1654733722,24.511,56.57,14,400,12706,19735,939.841,0.09,0.12,0.59,0.129,0.025,391,0
392,1654733723,24.52,56.67,11,400,12712,19744,939.843,0.1,0.13,0.63,0.139,0.027,392,0
393,1654733724,24.528,56.75,1,400,12707,19734,939.839,0.11,0.14,0.68,0.149,0.029,393,0
394,1654733725,24.536,56.82,12,400,12707,19745,939.847,0.11,0.14,0.69,0.151,0.029,394,0
